, REGION , PROVINCE , LGU NAME , LGU TYPE , CURRENT OPERATING INCOME ,,,,,,,,,,,,,,,,,,, TOTAL CURRENT OPERATING EXPENDITURES ,,,,,,,,, NET OPERATING INCOME/ (LOSS) FROM CURRENT OPERATIONS , NON-INCOME RECEIPTS ,,,,,,,,, NON-OPERATING EXPENDITURES ,,,,,,,,, NET INCREASE/ (DECREASE) IN FUNDS ," ADD: CASH BALANCE, BEGINNING ", FUND/ CASH AVAILABLE , Less: Payment of Prior Year/s Accounts Payable , CONTINUING  APPROPRIATION ," FUND/ CASH BALANCE, END "
,,,,, LOCAL SOURCES ,,,,,,,,,,,, EXTERNAL SOURCES ,,,,, TOTAL CURRENT OPERATING INCOME , GENERAL PUBLIC SERVICES ,SOCIAL SERVICES,,,,,,ECONOMIC SERVICES, DEBT SERVICE (Interest Expense & Other Charges) , TOTAL CURRENT OPERATING EXPENDITURES ,, CAPITAL/ INVESTMENT RECEIPTS ,,,, RECEIPTS FROM LOANS AND BORROWINGS ,,, Other Non-Income Receipts , TOTAL NON-INCOME RECEIPTS , CAPITAL/ INVESTMENT EXPENDITURES ,,,, DEBT SERVICE (Principal Cost) ,,, Other Non-Operating Expenditures , TOTAL NON-OPERATING EXPENDITURES ,,,,,,
,,,,, TAX REVENUE ,,,,,, NON-TAX REVENUE ,,,,, TOTAL LOCAL SOURCES , National Tax Allotment , Other Shares from National Tax Collection , Inter-Local Transfers , Extraordinary Receipts/ Grants/ Donations/ Aids , TOTAL EXTERNAL SOURCES ,,,,,,,,,,,,, Proceeds from Sale of Assets , Proceeds from Sale of Debt Securities of Other Entities , Collection of Loans Receivables , TOTAL CAPITAL/INVESTMENT RECEIPTS , Acquisition of Loans , Issuance of Bonds , TOTAL RECEIPTS FROM LOANS AND BORROWINGS ,,, Purchase/ Construct of Property Plant and Equipment  (Assets/ Capital Outlay) , Purchase of Debt Securities of Other Entities (Investment Outlay) , Grant/ Make Loan to Other Entities (Investment Outlay) , TOTAL CAPITAL/ INVESTMENT EXPENDITURES , Payment of Loan Amortization , Retirement/ Redemption of Bonds/ Debt Securities , TOTAL DEBT SERVICE (Principal Cost) ,,,,,,,,
,,,,, Real Property Tax ,,, Tax on Business , Other Taxes , Total Tax Revenue , Regulatory Fees , Service/ User Charges , Receipts from Economic Enterprises , Other Receipts , Total Non-Tax Revenue ,,,,,,,,," Education, Culture & Sports/ Manpower Development "," Health, Nutrition & Population Control ", Labor and Employment , Housing and Community Development , Social Services and Social Welfare , TOTAL SOCIAL SERVICES ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, General Fund , Special Education Fund , Total ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Region III,Tarlac,Tarlac,Province,133.13,190.10,323.22,16.74,41.03,381.00,43.31,96.53,0.00,2.47,142.31,523.30,"2,494.84",0.40,3.53,0.00,"2,498.77","3,022.08",861.53,57.33,443.93,44.66,60.05,153.20,759.16,150.46,22.42,"1,793.58","1,228.50",0.02,0.00,1.50,1.52,0.00,0.00,0.00,46.65,48.17,144.26,0.00,0.00,144.26,101.45,0.00,101.45,0.00,245.71,"1,030.96","1,824.93","2,855.89",392.92,15.38,"2,447.58"
,Region III,Zambales,Zambales,Province,161.54,270.80,432.33,75.42,100.71,608.46,62.66,25.93,0.00,52.17,140.76,749.22,"1,705.00",17.28,206.79,0.00,"1,929.07","2,678.30",600.01,69.17,327.96,1.81,0.00,31.39,430.33,149.10,38.64,"1,218.08","1,460.22",0.00,0.00,0.00,0.00,410.92,0.00,410.92,258.45,669.37,120.99,0.00,0.00,120.99,33.37,0.00,33.37,"1,234.79","1,389.15",740.44,633.75,"1,374.19",204.82,318.99,850.38
,Region IV-A,Batangas,Batangas,Province,267.05,348.18,615.23,27.68,133.25,776.16,0.94,134.10,0.00,65.17,200.21,976.38,"4,025.90",16.78,0.00,0.00,"4,042.68","5,019.06","1,044.09",46.47,576.63,0.00,80.75,236.10,939.94,251.92,96.84,"2,332.79","2,686.26",0.00,0.00,0.00,0.00,"1,042.96",0.00,"1,042.96",5.33,"1,048.28",88.36,0.00,0.00,88.36,270.82,0.00,270.82,0.00,359.18,"3,375.37","6,845.39","10,220.76",253.54,689.24,"9,277.99"
,Region IV-A,Cavite,Cavite,Province,296.36,356.22,652.58,135.20,182.20,969.98,5.89,247.07,0.00,3.97,256.93,"1,226.91","5,317.04",2.34,0.00,0.00,"5,319.37","6,546.29",940.11,64.69,688.19,0.00,0.00,256.93,"1,009.82",169.42,70.66,"2,190.00","4,356.28",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,383.87,0.00,0.00,383.87,94.37,0.00,94.37,0.00,478.24,"3,878.04","12,477.47","16,355.51","1,091.06","1,514.55","13,749.91"
,Region IV-A,Laguna,Laguna,Province,97.16,127.12,224.28,42.04,32.99,299.32,5.70,311.19,47.44,15.23,379.55,678.87,"4,346.69",22.72,0.00,1.00,"4,370.41","5,049.28",984.84,49.33,"1,407.06",64.49,6.06,661.78,"2,188.71",147.50,19.76,"3,340.82","1,708.47",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,448.32,0.00,0.00,448.32,94.62,0.00,94.62,0.00,542.95,"1,165.52","4,719.33","5,884.86",54.91,39.15,"5,790.79"
,Region IV-A,Quezon,Quezon,Province,203.05,289.85,492.89,4.39,31.60,528.89,21.10,250.77,339.96,103.16,714.99,"1,243.88","3,802.73",0.00,0.00,0.00,"3,802.73","5,046.61",539.28,155.44,811.74,17.69,0.00,435.02,"1,419.89",511.87,64.26,"2,535.31","2,511.30",0.00,0.00,0.00,0.00,31.01,0.00,31.01,0.00,31.01,186.87,0.00,0.00,186.87,176.99,0.00,176.99,0.00,363.87,"2,178.45","5,600.86","7,779.31","1,388.89",305.40,"6,085.01"
,Region IV-A,Rizal,Rizal,Province,302.49,424.66,727.15,134.81,92.08,954.04,0.01,738.02,0.00,243.36,981.40,"1,935.44","4,203.11",1.37,0.00,0.00,"4,204.48","6,139.92",724.65,93.81,705.99,0.00,44.89,70.41,915.09,153.45,0.00,"1,793.20","4,346.71",0.27,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.27,568.12,0.00,0.00,568.12,0.00,0.00,0.00,0.00,568.12,"3,778.86","17,170.06","20,948.92",0.00,0.00,"20,948.92"
,MIMAROPA Region,Marinduque,Marinduque,Province,9.18,13.66,22.84,4.30,1.33,28.47,0.32,9.82,33.48,1.60,45.22,73.69,919.87,0.88,148.04,0.17,"1,068.95","1,142.64",197.95,7.46,153.35,0.00,0.00,47.85,208.66,73.47,1.04,481.12,661.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.08,30.08,40.88,0.00,0.00,40.88,47.00,0.00,47.00,249.48,337.36,354.24,"1,371.70","1,725.95",118.82,187.45,"1,419.68"
,MIMAROPA Region,Occidental Mindoro,Occidental Mindoro,Province,27.02,40.57,67.60,39.37,3.86,110.83,29.12,18.13,0.00,1.23,48.48,159.30,"1,894.52",0.39,37.64,0.00,"1,932.55","2,091.86",434.85,26.82,454.68,2.32,10.16,137.33,631.30,189.63,0.82,"1,256.61",835.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.52,16.52,109.59,0.00,0.00,109.59,14.16,0.00,14.16,35.94,159.70,692.07,439.43,"1,131.50",237.92,21.78,871.80
,MIMAROPA Region,Oriental Mindoro,Oriental Mindoro,Province,39.07,55.75,94.82,38.64,6.16,139.63,11.20,4.72,7.14,18.60,41.67,181.30,"2,074.46",0.00,7.06,0.00,"2,081.51","2,262.82",419.07,86.64,430.83,0.00,0.02,22.64,540.14,175.06,0.00,"1,134.27","1,128.55",0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.14,60.14,304.74,0.00,0.00,304.74,0.00,0.00,0.00,56.29,361.03,827.66,"1,682.23","2,509.88",382.51,283.31,"1,844.07"
